STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS,anomaly,NET_WORTH,soundex,uniqueness_score
Karnataka,DAKSHINA KANNADA,NALIN KUMAR KATEEL,1.0,BJP,Lotus,MALE,4,52.0,GENERAL,10th Pass,445094544.0,445094544.0,772754.0,1531.0,774285.0,44.88671147,57.5528098,1724976.0,1.0,0.0,N452,0.25
Karnataka,DAKSHINA KANNADA,MITHUN M RAI,0.0,INC,Hand,MALE,1,34.0,GENERAL,Graduate,329636083.0,148040981.0,499387.0,277.0,499664.0,28.966432,37.14015789,1724976.0,1.0,181595102.0,M355,0.3333333333333333
Karnataka,DAKSHINA KANNADA,MOHAMMED ELIYAS,0.0,SDPI,Gas Cylinder,MALE,1,57.0,GENERAL,12th Pass,5016405.0,0.0,46834.0,5.0,46839.0,2.715342126,3.481555316,1724976.0,1.0,5016405.0,M534,0.5
Daman & Diu,DAMAN & DIU,LALUBHAI BABUBHAI PATEL,1.0,BJP,Lotus,MALE,0,63.0,GENERAL,8th Pass,21399375021.0,996951499.0,37586.0,11.0,37597.0,30.88302941,42.98126279,121740.0,-1.0,20402423522.0,L411,1.0
Daman & Diu,DAMAN & DIU,KETAN DAHYABHAI PATEL,0.0,INC,Hand,MALE,5,44.0,GENERAL,Others,17322257417.0,431134734.0,27643.0,12.0,27655.0,22.71644488,31.61546992,121740.0,-1.0,16891122683.0,K353,1.0
Daman & Diu,DAMAN & DIU,PATEL UMESHBHAI BABUBHAI,0.0,IND,SHIP,MALE,8,42.0,GENERAL,Graduate,269815026.0,0.0,19935.0,3.0,19938.0,16.37752587,22.79331908,121740.0,-1.0,269815026.0,P345,0.2
Daman & Diu,DAMAN & DIU,NOTA,0.0,NOTA,Lotus,MALE,0,41.4,GENERAL,Post Graduate,440429409.0,9647749.0,1487.0,0.0,1487.0,1.221455561,1.699953128,121740.0,-1.0,430781660.0,N300,0.004081632653061225
Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,1.0,BJP,Lotus,MALE,0,59.0,GENERAL,Graduate Professional,432924834.0,423061442.0,704221.0,303.0,704524.0,39.83113756,60.50506482,1768777.0,1.0,9863392.0,P643,0.3333333333333333
Madhya Pradesh,DAMOH,PRATAP SINGH,0.0,INC,Hand,MALE,0,57.0,GENERAL,10th Pass,238447532.0,1200001.0,351016.0,97.0,351113.0,19.85060864,30.1538554,1768777.0,1.0,237247531.0,P631,0.058823529411764705
Madhya Pradesh,DAMOH,"JITTU KHARE ""BADAL""",0.0,BSP,Elephant,MALE,0,34.0,GENERAL,8th Pass,218800021.0,0.0,45822.0,26.0,45848.0,2.592073506,3.937461622,1768777.0,1.0,218800021.0,J326,0.5
